iter	RMSE
256	2.040963263
257	2.040826427
258	2.040678124
259	2.040532831
260	2.040443622
261	2.040328607
262	2.040190716
263	2.040131521
264	2.040010761
265	2.039901045
266	2.039838621
267	2.039606004
268	2.039543495
269	2.039400609
270	2.039317938
271	2.039254043
272	2.039119326
273	2.038932632
274	2.038841436
275	2.038667024
276	2.038485175
277	2.038322321
278	2.038238208
279	2.038032534
280	2.03785967
281	2.037746981
282	2.037685137
283	2.037574416
284	2.037441111
285	2.037332701
286	2.037204831
287	2.037108824
288	2.037015547
289	2.036965774
290	2.036855378
291	2.036749486
292	2.036692144
293	2.036530332
294	2.036441535
295	2.036386043
296	2.036221588
297	2.036141285
298	2.036107064
299	2.036023956
300	2.035961696
301	2.035835719
302	2.035676814
303	2.035599118
304	2.03550937
305	2.035386009
306	2.03530747
307	2.035191656
308	2.035083055
309	2.034942124
310	2.034824263
311	2.034706204
312	2.034661813
313	2.034456797
314	2.034383428
315	2.034203322
316	2.034036758
317	2.0339919
318	2.033856393
319	2.033802796
320	2.033745482
321	2.033646957
322	2.033569588
323	2.033398119
324	2.033343372
325	2.033183308
326	2.033101725
327	2.032981564
328	2.032857184
329	2.032767931
330	2.032658108
331	2.032527412
332	2.032375316
333	2.032329788
334	2.032157416
335	2.03200463
336	2.031864662
337	2.031765502
338	2.031702224
339	2.031613278
340	2.031572703
341	2.031449146
342	2.031218459
343	2.031078361
344	2.030982301
345	2.030827545
346	2.03074677
347	2.030640119
348	2.030413315
349	2.030337639
350	2.030181209
351	2.030050408
352	2.029994883
353	2.029897262
354	2.029784351
355	2.029732631
356	2.029673722
357	2.029574578
358	2.029495278
359	2.029352715
360	2.029255018
361	2.029146745
362	2.029018313
363	2.028933684
364	2.028811632
365	2.028766124
366	2.028684319
367	2.02863236
368	2.028580522
369	2.028454866
370	2.028334169
371	2.028263035
372	2.02806629
373	2.028014378
374	2.027908307
375	2.02785036
376	2.027733805
377	2.027592513
378	2.027466415
379	2.027372244
380	2.027278113
381	2.027169193
382	2.027047042
383	2.026959587
384	2.026858121
385	2.026684611
386	2.026621384
387	2.026501456
388	2.026394653
389	2.026231707
390	2.026131998
391	2.025942235
392	2.025890858
393	2.025793642
394	2.025736029
395	2.025660529
396	2.025528388
397	2.025449363
398	2.02535543
399	2.025273186
400	2.025114557
401	2.02503225
402	2.024957503
403	2.02487932
404	2.024794667
405	2.024667574
406	2.024514346
407	2.024377666
408	2.024254144
409	2.024123832
410	2.024060718
411	2.023948179
412	2.023895984
413	2.023815596
414	2.023611102
415	2.023557047
416	2.023463418
417	2.023368739
418	2.02326378
419	2.023147207
420	2.023057995
421	2.022858782
422	2.022742873
423	2.022554958
424	2.022485412
425	2.022375896
426	2.022228576
427	2.022152466
428	2.02203923
429	2.021936053
430	2.021864261
431	2.021795265
432	2.021652992
433	2.021550755
434	2.021438074
435	2.021325583
436	2.021213865
437	2.021115886
438	2.021065313
439	2.020948686
440	2.020862939
441	2.020708893
442	2.02056637
443	2.020510751
444	2.020428191
445	2.020332747
446	2.020203835
447	2.020111852
448	2.020030329
449	2.019962345
450	2.01988792
451	2.019809375
452	2.019720217
453	2.019579042
454	2.019466776
455	2.019348546
456	2.019202244
457	2.019154545
458	2.019020131
459	2.018919218
460	2.018821112
461	2.01876981
462	2.018654482
463	2.018509363
464	2.018417744
465	2.018303441
466	2.018193234
467	2.018098574
468	2.018014318
469	2.017917534
470	2.017852133
471	2.017748783
472	2.017624395
473	2.017519911
474	2.017438861
475	2.017373664
476	2.017321784
477	2.017207402
478	2.017107801
479	2.017038872
480	2.016893899
481	2.016768747
482	2.016701198
483	2.01661174
484	2.016523
485	2.016438723
486	2.016331899
487	2.016263987
488	2.016165389
489	2.016098758
490	2.016055731
491	2.015963588
492	2.015888864
493	2.01575953
494	2.015675399
495	2.015577887
496	2.015459959
497	2.015397703
498	2.015287356
499	2.015130205
500	2.015030292
501	2.014914428
502	2.014832643
503	2.014725431
504	2.014680488
505	2.014621473
506	2.014533012
507	2.014479317
508	2.014457826
509	2.014314862
510	2.014234933
511	2.014173535
512	2.014051186
513	2.013999017
514	2.013819609
515	2.013767784
516	2.01367672
517	2.013636729
518	2.013455541
519	2.013323335
520	2.013195813
521	2.013135029
522	2.013054017
523	2.012964429
524	2.012881304
525	2.012748766
526	2.012600033
527	2.012526625
528	2.012435648
529	2.012303147
530	2.012239414
531	2.012121601
532	2.01202684
533	2.011911104
534	2.011827919
535	2.011756977
536	2.011690233
537	2.011589652
538	2.011508451
539	2.011431182
540	2.011338247
541	2.011310687
542	2.011247642
543	2.011167704
544	2.011006049
545	2.010892933
546	2.010830958
547	2.010785197
548	2.010717317
549	2.010651016
550	2.01057857
551	2.010497285
552	2.010445765
553	2.010348266
554	2.010229292
555	2.010126559
556	2.010031327
557	2.009932038
558	2.009870074
559	2.009793134
560	2.009662132
561	2.009577917
562	2.009487285
563	2.00940267
564	2.009341138
565	2.009259414
566	2.009174375
567	2.008909387
568	2.008798087
569	2.00863921
570	2.008506338
571	2.008407605
572	2.008342891
573	2.008187202
574	2.008093814
575	2.008013666
576	2.007912814
577	2.007681254
578	2.007596981
579	2.007518755
580	2.007360029
581	2.007310482
582	2.007247323
583	2.007209805
584	2.007150608
585	2.00703542
586	2.006903138
587	2.006775401
588	2.006718135
589	2.006667103
590	2.006586969
591	2.006525459
592	2.006489992
593	2.006391418
594	2.006295494
595	2.006221077
596	2.006190242
597	2.006104195
598	2.005940007
599	2.005843936
